group: thresh_pba_dfs
root: dow_jones
desc: fth thresh


debug: s
                           pba_oc_return_fth_of_xact  \
2005-03-22 15:00:00+00:00                  -0.015863  
2005-03-22 16:00:00+00:00                  -0.003331  
2005-03-22 17:00:00+00:00                   0.003192  


root: sp_500
desc: fth thresh


debug: s
                           vol_oc_return_fth_of_xact  \
id                                                     
1998-01-02 15:00:00+00:00                  -0.012403   
1998-01-02 16:00:00+00:00                   0.011844   
1998-01-02 17:00:00+00:00                  -0.018728   
1998-01-02 18:00:00+00:00                   0.004766   
1998-01-02 19:00:00+00:00                  -0.000395   
1998-01-02 20:00:00+00:00                  -0.045095   
1998-01-05 14:00:00+00:00                  -0.008857   
1998-01-05 16:00:00+00:00                  -0.015960   
1998-01-05 17:00:00+00:00                   0.027292   
1998-01-05 18:00:00+00:00                   0.011171   
1998-01-05 19:00:00+00:00                   0.003679   
1998-01-05 20:00:00+00:00                  -0.011798   
1998-01-06 14:00:00+00:00                   0.003195   
1998-01-06 15:00:00+00:00                   0.004777   
1998-01-06 16:00:00+00:00                   0.027327   
1998-01-06 17:00:00+00:00                   0.002707   
1998-01-06 18:00:00+00:00                  -0.021881   
1998-01-06 19:00:00+00:00                   0.012100   
1998-01-06 20:00:00+00:00                  -0.013472   
1998-01-07 14:00:00+00:00                  -0.018668   

                           vol_lh_return_fth_of_xact  \
id                                                     
1998-01-02 15:00:00+00:00                   0.047073   
1998-01-02 16:00:00+00:00                   0.022311   
1998-01-02 17:00:00+00:00                   0.024760   
1998-01-02 18:00:00+00:00                   0.025755   
1998-01-02 19:00:00+00:00                   0.021505   
1998-01-02 20:00:00+00:00                   0.050707   
1998-01-05 14:00:00+00:00                   0.008936   
1998-01-05 16:00:00+00:00                   0.017521   
1998-01-05 17:00:00+00:00                   0.038643   
1998-01-05 18:00:00+00:00                   0.028151   
1998-01-05 19:00:00+00:00                   0.042300   
1998-01-05 20:00:00+00:00                   0.045511   
1998-01-06 14:00:00+00:00                   0.028537   
1998-01-06 15:00:00+00:00                   0.026994   
1998-01-06 16:00:00+00:00                   0.030940   
1998-01-06 17:00:00+00:00                   0.022966   
1998-01-06 18:00:00+00:00                   0.022370   
1998-01-06 19:00:00+00:00                   0.027920   
1998-01-06 20:00:00+00:00                   0.026635   
1998-01-07 14:00:00+00:00                   0.032090   

                           vol_oa_return_fth_of_xact  
id                                                    
1998-01-02 15:00:00+00:00                   0.000256  
1998-01-02 16:00:00+00:00                   0.002744  
1998-01-02 17:00:00+00:00                  -0.012318  
1998-01-02 18:00:00+00:00                   0.000516  
1998-01-02 19:00:00+00:00                   0.001630  
1998-01-02 20:00:00+00:00                  -0.025178  
1998-01-05 14:00:00+00:00                  -0.005233  
1998-01-05 16:00:00+00:00                  -0.535960  
1998-01-05 17:00:00+00:00                   0.015066  
1998-01-05 18:00:00+00:00                   0.000199  
1998-01-05 19:00:00+00:00                   0.014452  
1998-01-05 20:00:00+00:00                  -0.001680  
1998-01-06 14:00:00+00:00                   0.005723  
1998-01-06 15:00:00+00:00                   0.002002  
1998-01-06 16:00:00+00:00                   0.012990  
1998-01-06 17:00:00+00:00                   0.005557  
1998-01-06 18:00:00+00:00                  -0.009739  
1998-01-06 19:00:00+00:00                   0.007600  
1998-01-06 20:00:00+00:00                  -0.002802  
1998-01-07 14:00:00+00:00                  -0.008419  


root: nasdaq_100
desc: fth thresh


debug: s
                           vol_oc_return_fth_of_xact  \
id                                                     
2001-01-23 14:00:00+00:00                  -0.009395   
2001-01-23 15:00:00+00:00                  -0.018436   
2001-01-23 16:00:00+00:00                  -0.012035   
2001-01-23 17:00:00+00:00                  -0.014394   
2001-01-23 18:00:00+00:00                  -0.012837   
2001-01-23 19:00:00+00:00                  -0.020000   
2001-01-23 20:00:00+00:00                  -0.027884   
2001-01-24 14:00:00+00:00                   0.006833   
2001-01-24 15:00:00+00:00                   0.001155   
2001-01-24 16:00:00+00:00                  -0.003298   
2001-01-24 17:00:00+00:00                   0.005125   
2001-01-24 18:00:00+00:00                   0.007237   
2001-01-24 19:00:00+00:00                  -0.002941   
2001-01-24 20:00:00+00:00                  -0.004921   
2001-01-25 14:00:00+00:00                  -0.001287   
2001-01-25 15:00:00+00:00                   0.012730   
2001-01-25 16:00:00+00:00                  -0.001589   
2001-01-25 17:00:00+00:00                  -0.012582   
2001-01-25 18:00:00+00:00                   0.006775   
2001-01-25 19:00:00+00:00                   0.020189   

                           vol_lh_return_fth_of_xact  \
id                                                     
2001-01-23 14:00:00+00:00                   0.012716   
2001-01-23 15:00:00+00:00                   0.023048   
2001-01-23 16:00:00+00:00                   0.020089   
2001-01-23 17:00:00+00:00                   0.019184   
2001-01-23 18:00:00+00:00                   0.018205   
2001-01-23 19:00:00+00:00                   0.024390   
2001-01-23 20:00:00+00:00                   0.033379   
2001-01-24 14:00:00+00:00                   0.009694   
2001-01-24 15:00:00+00:00                   0.012076   
2001-01-24 16:00:00+00:00                   0.009646   
2001-01-24 17:00:00+00:00                   0.007457   
2001-01-24 18:00:00+00:00                   0.013190   
2001-01-24 19:00:00+00:00                   0.007737   
2001-01-24 20:00:00+00:00                   0.009265   
2001-01-25 14:00:00+00:00                   0.006443   
2001-01-25 15:00:00+00:00                   0.016332   
2001-01-25 16:00:00+00:00                   0.009088   
2001-01-25 17:00:00+00:00                   0.016155   
2001-01-25 18:00:00+00:00                   0.010520   
2001-01-25 19:00:00+00:00                   0.030715   

                           vol_oa_return_fth_of_xact  
id                                                    
2001-01-23 14:00:00+00:00                  -0.003990  
2001-01-23 15:00:00+00:00                  -0.007935  
2001-01-23 16:00:00+00:00                  -0.012477  
2001-01-23 17:00:00+00:00                  -0.013896  
2001-01-23 18:00:00+00:00                  -0.004894  
2001-01-23 19:00:00+00:00                  -0.008647  
2001-01-23 20:00:00+00:00                  -0.015638  
2001-01-24 14:00:00+00:00                   0.002722  
2001-01-24 15:00:00+00:00                   0.003445  
2001-01-24 16:00:00+00:00                  -0.002157  
2001-01-24 17:00:00+00:00                   0.001476  
2001-01-24 18:00:00+00:00                   0.004770  
2001-01-24 19:00:00+00:00                  -0.003077  
2001-01-24 20:00:00+00:00                  -0.003704  
2001-01-25 14:00:00+00:00                   0.002296  
2001-01-25 15:00:00+00:00                   0.002340  
2001-01-25 16:00:00+00:00                   0.000297  
2001-01-25 17:00:00+00:00                  -0.008691  
2001-01-25 18:00:00+00:00                   0.000618  
2001-01-25 19:00:00+00:00                   0.008364  


root: russell_2000
desc: fth thresh


debug: s
                           vol_oc_return_fth_of_xact  \
id                                                     
2006-05-05 13:00:00+00:00                  -0.015652   
2006-05-05 14:00:00+00:00                   0.012979   
2006-05-05 15:00:00+00:00                  -0.007005   
2006-05-05 16:00:00+00:00                   0.002358   
2006-05-05 17:00:00+00:00                  -0.015285   
2006-05-05 18:00:00+00:00                  -0.001194   
2006-05-05 19:00:00+00:00                   0.007177   
2006-05-05 20:00:00+00:00                   0.009507   
2006-05-08 13:00:00+00:00                   0.000573   
2006-05-08 14:00:00+00:00                   0.011455   
2006-05-08 15:00:00+00:00                  -0.001133   
2006-05-08 16:00:00+00:00                  -0.011357   
2006-05-08 17:00:00+00:00                  -0.004016   
2006-05-08 18:00:00+00:00                  -0.000576   
2006-05-08 19:00:00+00:00                  -0.000576   
2006-05-08 20:00:00+00:00                   0.003466   
2006-05-09 13:00:00+00:00                   0.003436   
2006-05-09 14:00:00+00:00                  -0.005134   
2006-05-09 15:00:00+00:00                  -0.004590   
2006-05-09 16:00:00+00:00                   0.002885   

                           vol_lh_return_fth_of_xact  \
id                                                     
2006-05-05 13:00:00+00:00                   0.029219   
2006-05-05 14:00:00+00:00                   0.018879   
2006-05-05 15:00:00+00:00                   0.018332   
2006-05-05 16:00:00+00:00                   0.009496   
2006-05-05 17:00:00+00:00                   0.019139   
2006-05-05 18:00:00+00:00                   0.010210   
2006-05-05 19:00:00+00:00                   0.007775   
2006-05-05 20:00:00+00:00                   0.009507   
2006-05-08 13:00:00+00:00                   0.015499   
2006-05-08 14:00:00+00:00                   0.072253   
2006-05-08 15:00:00+00:00                   0.011409   
2006-05-08 16:00:00+00:00                   0.013785   
2006-05-08 17:00:00+00:00                   0.009222   
2006-05-08 18:00:00+00:00                   0.006366   
2006-05-08 19:00:00+00:00                   0.008661   
2006-05-08 20:00:00+00:00                   0.005777   
2006-05-09 13:00:00+00:00                   0.008611   
2006-05-09 14:00:00+00:00                   0.008626   
2006-05-09 15:00:00+00:00                   0.008088   
2006-05-09 16:00:00+00:00                   0.007506   

                           vol_oa_return_fth_of_xact  
id                                                    
2006-05-05 13:00:00+00:00                  -0.017188  
2006-05-05 14:00:00+00:00                   0.009776  
2006-05-05 15:00:00+00:00                  -0.004536  
2006-05-05 16:00:00+00:00                   0.000100  
2006-05-05 17:00:00+00:00                  -0.008348  
2006-05-05 18:00:00+00:00                  -0.000603  
2006-05-05 19:00:00+00:00                   0.003846  
