group: thresh_pba_dzn_normalize
root: dow_jones
desc: thresh_dzn


debug: s
                           pba_oc_return_fth_of_xact  \
1998-01-02 18:00:00+00:00                  -0.940439   
1998-01-02 19:00:00+00:00                  -1.000000   
1998-01-02 20:00:00+00:00                   1.000000   
1998-01-02 21:00:00+00:00                  -0.147446   
1998-01-05 14:00:00+00:00                   0.407458   
1998-01-05 15:00:00+00:00                   0.972964   
1998-01-05 16:00:00+00:00                   1.000000   
1998-01-05 17:00:00+00:00                  -0.419865   
1998-01-05 18:00:00+00:00                  -1.000000   
1998-01-05 19:00:00+00:00                   0.178501   
1998-01-05 20:00:00+00:00                   0.671241   
1998-01-05 21:00:00+00:00                   0.500741   
1998-01-06 14:00:00+00:00                  -1.000000   
1998-01-06 15:00:00+00:00                   0.268824   
1998-01-06 16:00:00+00:00                  -0.489198   
1998-01-06 17:00:00+00:00                   0.735559   

                           pba_oa_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   0.625274   
1998-01-02 15:00:00+00:00                  -1.000000   
1998-01-02 16:00:00+00:00                  -0.043675   
1998-01-02 17:00:00+00:00                   0.520575   
1998-01-02 18:00:00+00:00                  -0.326100   
1998-01-02 19:00:00+00:00                  -0.689002   
1998-01-02 20:00:00+00:00                   1.000000   
1998-01-02 21:00:00+00:00                   0.498723   
1998-01-05 14:00:00+00:00                   0.412755   
1998-01-05 15:00:00+00:00                   1.000000   
1998-01-05 16:00:00+00:00                   0.463599   
1998-01-05 17:00:00+00:00                  -0.613059   
1998-01-05 18:00:00+00:00                  -1.000000   
1998-01-05 19:00:00+00:00                  -0.834300   
1998-01-05 20:00:00+00:00                  -0.020541   
1998-01-05 21:00:00+00:00                   0.456154   
1998-01-06 14:00:00+00:00                  -1.000000   
1998-01-06 15:00:00+00:00                   0.439896   
1998-01-06 16:00:00+00:00                   0.272789   
1998-01-06 17:00:00+00:00                   0.988900   

                           pba_lh_return_fth_of_xact  
id                                                    
1998-01-02 14:00:00+00:00                  -0.146761  
1998-01-02 15:00:00+00:00                   0.336963  
1998-01-02 16:00:00+00:00                  -0.837207  
1998-01-02 17:00:00+00:00                  -0.689718  
1998-01-02 18:00:00+00:00                  -0.796437  
1998-01-02 19:00:00+00:00                  -0.188961  
1998-01-02 20:00:00+00:00                   1.000000  
1998-01-02 21:00:00+00:00                  -1.000000  
1998-01-05 14:00:00+00:00                  -0.154622  
1998-01-05 15:00:00+00:00                   0.515935  
1998-01-05 16:00:00+00:00                   0.093448  
1998-01-05 17:00:00+00:00                  -0.121260  
1998-01-05 18:00:00+00:00                   0.982728  
1998-01-05 19:00:00+00:00                   0.893171  
1998-01-05 20:00:00+00:00                   1.000000  
1998-01-05 21:00:00+00:00                  -1.000000  
1998-01-06 14:00:00+00:00                   1.000000  
1998-01-06 15:00:00+00:00                  -0.258366  
1998-01-06 16:00:00+00:00                  -0.142468  
1998-01-06 17:00:00+00:00                  -0.687308  


root: nasdaq_100
desc: thresh_dmx


debug: s
                           pba_oc_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                  -0.298518   
1998-01-02 15:00:00+00:00                  -0.299275   
1998-01-02 16:00:00+00:00                  -0.349282   
1998-01-02 17:00:00+00:00                  -0.300464   
1998-01-02 18:00:00+00:00                  -0.364618   
1998-01-02 19:00:00+00:00                  -0.366095   
1998-01-02 20:00:00+00:00                  -0.192543   
1998-01-02 21:00:00+00:00                  -0.335107   
1998-01-05 14:00:00+00:00                  -0.312005   
1998-01-05 15:00:00+00:00                  -0.209482   
1998-01-05 16:00:00+00:00                  -0.279156   
1998-01-05 17:00:00+00:00                  -0.342285   
1998-01-05 18:00:00+00:00                  -0.460291   
1998-01-05 19:00:00+00:00                  -0.296121   
1998-01-05 20:00:00+00:00                  -0.382849   
1998-01-05 21:00:00+00:00                  -0.337578   
1998-01-06 14:00:00+00:00                  -0.373905   
